subbasn,ret_final,ar_sqkm,mean_discharge_m3y
410.0,0.974750043656111,26666.70994,2.5253042e+08
411.0,0.7443,8864.8166,7.213926e+07
412.0,0.539595354265618,5899.94819,1.1762916e+08
413.0,0.75,2949.974095,
414.0,0.950224872592497,17779.99398,3.0618784e+08
415.0,0.7443,5907.395348,2.2603325e+08
416.0,0.971235061052083,11792.22861,3.3645226e+08
417.0,0.635443985994353,5899.94819,5.776806e+08
418.0,0.75,2949.974095,2.1497898e+07
419.0,0.75,2949.974095,3.347078e+06
420.0,0.800794130525013,8849.922285,1.1075039e+08
421.0,0.75,2949.974095,6.26339e+07
422.0,0.758796964277316,8834.586741,6.1288076e+07
423.0,0.792765318408176,5892.280418,7.963737e+07
424.0,0.75,2949.974095,8.005637e+06
425.0,0.917105061853591,49792.1987,2.0831571e+08
426.0,0.75,2949.974095,1.8279678e+08
427.0,0.75,2949.974095,
428.0,0.75,2949.974095,8.838587e+06
429.0,0.75,2949.974095,5.3010576e+07
430.0,0.75,2949.974095,4.800798e+07
431.0,0.75,2949.974095,1.3370815e+07
432.0,0.7836,5922.068605,2.7906225e+06
433.0,0.988290498813058,17815.45917,1.7035966e+08
434.0,0.996352190144886,5914.842505,6.213598e+08
435.0,0.75,2957.421253,
436.0,0.906900289641923,11865.37253,1.9472554e+08
437.0,0.75,2957.421253,9.751298e+06
438.0,0.75,2957.421253,1.5347513e+07
439.0,0.75,2957.421253,1.1084281e+08
440.0,0.522137682690693,5914.842505,3.8528803e+08
441.0,0.75,2957.421253,
442.0,0.75,2957.421253,2.6302542e+06
443.0,0.977989236727688,17729.6332,1.1379181e+08
444.0,0.768563961290557,14741.98209,8.448943e+07
445.0,0.75,2957.421253,1.8950757e+08
446.0,0.75,2957.421253,7.0598855e+06
447.0,0.75,2957.421253,3.55023e+06
448.0,0.910709077757844,23606.79869,3.493505e+08
449.0,0.75,2957.421253,1.3081886e+08
450.0,0.75,2957.421253,1.5618269e+07
451.0,0.75,2957.421253,2.3449626e+07
452.0,0.75,2957.421253,1.1235163e+07
453.0,0.75,2957.421253,1.1956393e+08
454.0,0.75,2957.421253,4.1010916e+07
455.0,0.7836,14864.82063,4.746302e+07
456.0,0.6664,2964.647352,262980.0
457.0,0.985352241925019,103455.7828,5.809656e+08
458.0,0.844,29573.54935,1.82831e+08
459.0,0.825082319716674,8900.946669,9.252075e+07
460.0,0.75,5922.068605,1.8133298e+08
461.0,0.985724210745248,29451.09064,7.982245e+08
462.0,0.997635576262573,46943.66178,1.369723e+09
463.0,0.339863286759294,5929.294704,2.2457016e+08
464.0,0.75,2964.647352,6.99473e+07
465.0,0.6664,2964.647352,1.5738037e+07
466.0,0.709388537131571,5929.294704,6.751554e+07
467.0,0.984479107661072,29536.09339,1.21255736e+08
468.0,0.75,2964.647352,1.2795555e+07
469.0,0.82100514574345,5929.294704,2.6807128e+08
470.0,0.6664,2964.647352,8.9219e+07
471.0,0.75,2964.647352,2.4448836e+07
472.0,0.75,2964.647352,1.1867281e+07
473.0,0.7443,14898.51147,2.5477188e+07
474.0,0.997786792829373,5943.303929,7.444268e+07
475.0,0.476495254237146,17822.68527,7.935837e+07
477.0,0.959954867080496,14878.60795,1.6993128e+08
478.0,0.784391617119392,5936.299317,9.625079e+07
479.0,0.962151092554377,47358.33789,1.2556585e+09
480.0,0.209335857128473,8921.738604,4.1485203e+08
481.0,0.75,2971.651965,1.0052357e+08
482.0,0.75,2971.651965,1.3590083e+07
483.0,0.862189830734506,8907.951281,1.0252117e+08
484.0,0.996106439312924,82575.55599,3.198408e+08
485.0,0.636522168263065,5936.299317,1.0117366e+08
486.0,0.964802260898177,76820.18605,3.1614934e+08
487.0,0.75,2971.651965,1.0123974e+08
488.0,0.977269319510601,5936.299317,5.186626e+07
489.0,0.785953065670542,67970.26199,4.5309232e+08
490.0,0.75,2971.651965,8.8074056e+07
491.0,0.75,2971.651965,8.342973e+07
492.0,0.75,2971.651965,4.194899e+07
493.0,0.75,2971.651965,7.315125e+06
494.0,0.75,8954.762548,2.0326622e+07
495.0,0.401326620664559,8928.521313,1.3178597e+08
496.0,0.828628061384277,5956.869349,5.9988336e+07
497.0,0.75,2978.434674,5.8565505e+06
498.0,0.75,2978.434674,1.8551924e+07
499.0,0.96415398572536,11913.51639,4.746189e+08
500.0,0.317652029682428,5956.869349,3.2120714e+08
501.0,0.75,2978.434674,3.372784e+07
502.0,0.75,2978.434674,1.8150954e+08
503.0,0.951109782118886,5950.086639,2.7155352e+07
504.0,0.75,2978.434674,1.5086943e+07
505.0,0.75,2978.434674,5.7411164e+07
506.0,0.983945467470203,8935.304023,2.0594131e+08
507.0,0.979207783933828,80341.91155,2.2198683e+08
508.0,0.998825112860598,20765.87581,1.164604e+08
509.0,0.811797205584906,11913.7387,2.4133566e+08
510.0,0.75,2978.434674,5.9440732e+07
511.0,0.75,2978.434674,2.4906836e+07
512.0,0.75,2978.434674,2.4539252e+07
513.0,0.75,2984.99508,
515.0,0.75,2984.99508,
516.0,0.999945376977031,56726.24542,1.5043597e+08
517.0,0.873141519910596,11933.41991,7.822026e+07
518.0,0.998064728917919,14918.41499,3.5070243e+08
519.0,0.947493763194595,5969.99016,1.5036437e+08
520.0,0.83783285603972,8954.98524,3.289216e+08
521.0,0.75,2984.99508,1.1577694e+07
522.0,0.75,2984.99508,6.0615708e+07
523.0,0.641686904606745,8941.864429,1.27130904e+08
524.0,0.75,2984.99508,1.5431075e+07
525.0,0.75,2984.99508,1.4417659e+08
526.0,0.571929647881187,5976.327874,1.2979668e+08
527.0,0.75,2984.99508,1.1959579e+07
528.0,0.75,2984.99508,1.5856996e+07
529.0,0.55104569618729,11939.98032,3.5624285e+08
530.0,0.924397108564824,8935.081719,2.350049e+08
531.0,0.992757241112248,17836.02839,4.537803e+08
532.0,0.75,2984.99508,1.8065512e+07
533.0,0.75,2984.99508,
534.0,0.75,2984.99508,1.4936387e+07
535.0,0.75,2991.332794,
536.0,0.75,2991.332794,
537.0,0.75,2991.332794,
538.0,0.978008864457986,8980.11303,7.1743256e+07
539.0,0.973395197932219,8973.998382,8.33636e+07
540.0,0.75,2991.332794,5.1466556e+07
541.0,0.997355633002259,5982.665588,1.2625649e+09
542.0,0.75,2991.332794,2.1899808e+07
543.0,0.807493476022988,5982.665588,1.7314592e+08
544.0,0.919794101585835,5982.665588,1.7433773e+08
545.0,0.75,2991.332794,
546.0,0.983704305699004,29734.86907,2.2339451e+08
547.0,0.95551907626435,5976.327874,1.4120346e+08
548.0,0.83817807345744,5976.327874,1.0468457e+08
549.0,0.75,2991.332794,1.3749616e+08
550.0,0.75,2991.332794,5.643551e+06
551.0,0.75,2991.332794,1.1815138e+07
552.0,0.75,2991.332794,5.947449e+08
553.0,0.75,2991.332794,1.0198064e+08
554.0,0.75,2991.332794,1.6137768e+07
555.0,0.965160217498494,12007.23966,1.932429e+08
556.0,0.733022820644264,11989.78977,1.1558333e+08
557.0,0.215974329501223,5988.780236,3.0192892e+07
558.0,0.999927237475235,65678.5584,1.0204106e+09
559.0,0.75,2997.447442,9.474854e+06
560.0,0.725754093924581,8986.227678,2.5142704e+08
561.0,0.75,2997.447442,9.452294e+07
562.0,0.974429045192726,62674.10711,5.3222998e+08
563.0,0.403689738555137,6000.786107,1.0158981e+08
564.0,0.774519993243206,6000.786107,6.3831268e+07
565.0,0.898501157974358,20963.78815,2.3162778e+08
566.0,0.75,2997.447442,8.74631e+06
567.0,0.7089,9015.683445,6.0253268e+07
568.0,0.947283038613238,60144.54954,1.2274065e+08
569.0,0.804136696715763,9021.350895,1.394781e+08
570.0,0.895088038109118,26958.01312,2.7238358e+08
571.0,0.999971120606407,15010.8021,2.860853e+08
572.0,0.75,3003.338665,1.2653509e+07
573.0,0.75,3003.338665,1.0701394e+08
574.0,0.860935119479175,6006.67733,1.0085393e+08
