subbasn,ar_sqkm,grd_cells,gen_flux,out_flux,ret_final,method
1270.0,3076.545815,2,4433.9855,4433.9855,0.75,Fixed (Size <= 4 Grids)
1271.0,3076.545815,1,2507.49017,2507.49017,0.75,Fixed (Size <= 4 Grids)
1272.0,3076.545815,1,17510.64476,17510.64476,0.75,Fixed (Size <= 4 Grids)
1273.0,3076.545815,2,58336.5335016,58336.5335016,0.75,Fixed (Size <= 4 Grids)
1274.0,3076.545815,2,283007.5729272,283007.5729272,0.75,Fixed (Size <= 4 Grids)
1275.0,3076.545815,1,23950.425116,23950.425116,0.75,Fixed (Size <= 4 Grids)
1276.0,3076.545815,1,375.3741729,375.3741729,0.75,Fixed (Size <= 4 Grids)
1277.0,3076.545815,2,480.0051232,480.0051232,0.75,Fixed (Size <= 4 Grids)
1278.0,3076.545815,2,3202.7292272,3202.7292272,0.75,Fixed (Size <= 4 Grids)
1280.0,3077.001939,2,2229.99804828,2229.99804828,0.75,Fixed (Size <= 4 Grids)
1281.0,3077.001939,3,626.95033783,626.95033783,0.75,Fixed (Size <= 4 Grids)
1282.0,3077.001939,2,1895.73731768,1895.73731768,0.75,Fixed (Size <= 4 Grids)
1283.0,3077.001939,2,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1284.0,6154.003878,2,179473.5145636,318.6459924,0.998224551443288,Calculated
1285.0,6154.003878,4,13752.70656947,5255.28188138,0.617872899793678,Calculated
1286.0,3077.001939,2,853.19166743,853.19166743,0.75,Fixed (Size <= 4 Grids)
1287.0,6153.547754,4,26072.006172518,5851.108449598,0.775578894432545,Calculated
1288.0,6153.547754,4,28322.13063933,9106.52992303,0.678465930441544,Calculated
1289.0,6153.547754,2,19751.097340482,921.070468312,0.953366111642609,Calculated
1290.0,6154.003878,2,237113.633552,13485.400177,0.943126846082249,Calculated
1291.0,6154.231947,4,81517.344833636,17891.830755016,,Masked (Endorheic)
1292.0,12308.00776,4,2505.7640248899997,560.750440896,0.776215782760862,Calculated
1293.0,15385.92197,9,4345.845643657,884.254771096,0.796528721081795,Calculated
1294.0,3077.001939,1,174502.20353472,174502.20353472,0.75,Fixed (Size <= 4 Grids)
1295.0,9230.549693,5,299048.419334589,42650.442221589,0.85737947615142,Calculated
1296.0,3077.001939,1,1121.17474153,1121.17474153,0.75,Fixed (Size <= 4 Grids)
1297.0,3077.001939,1,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1298.0,9231.005817,4,84522.379937127,2409.6161931300003,0.971491382579118,Calculated
